"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","7","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 21 + 25 = 47",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","4","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 57 + 9 = 67",""
"passed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 11 + 33 = 44",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 10 + 94 = 105",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 90 + 98 = 189",""
"passed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","40","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","divisionByZeroError","divisionByZeroError()",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 38 + 33 = 72",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","7","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 37 + 41 = 79",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","20","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 10 + 65 = 76",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 72 + 38 = 111",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 58 + 47 = 106",""
